geo,Municipio,Año,Nivel,Tasa
15816,Togüí,2015,Edu_Media,0.012500
15820,Tópaga,2015,Edu_Media,0.000000
15822,Tota,2015,Edu_Media,0.000000
15832,Tununguá,2015,Edu_Media,0.000000
15835,Turmequé,2015,Edu_Media,0.000000
15837,Tuta,2015,Edu_Media,0.000000
15839,Tutazá,2015,Edu_Media,0.000000
15842,Umbita,2015,Edu_Media,0.004600
15861,Ventaquemada,2015,Edu_Media,0.000000
15879,Viracachá,2015,Edu_Media,0.000000
15897,Zetaquira,2015,Edu_Media,0.000000
15001,Tunja,2016,Total,0.061300
15022,Almeida,2016,Total,0.000000
15047,Aquitania,2016,Total,0.050400
15051,Arcabuco,2016,Total,0.000000
15087,Belén,2016,Total,0.003100
15090,Berbeo,2016,Total,0.012600
15092,Betéitiva,2016,Total,0.020200
15097,Boavita,2016,Total,0.000900
15104,Boyacá,2016,Total,0.005600
15106,Briceño,2016,Total,0.000000
15109,Buenavista,2016,Total,0.025600
15114,Busbanzá,2016,Total,0.000000
15131,Caldas,2016,Total,0.014600
15135,Campohermoso,2016,Total,0.000000
