Indicador,geo,Area,Periodo,Valor
Cobertura bruta de educación (media),15090,Berbeo,2012,0.522700
Cobertura bruta de educación (media),15092,Betéitiva,2012,1.013300
Cobertura bruta de educación (media),15097,Boavita,2012,1.110700
Cobertura bruta de educación (media),15104,Boyacá,2012,0.623700
Cobertura bruta de educación (media),15106,Briceño,2012,0.734000
Cobertura bruta de educación (media),15109,Buenavista,2012,0.891900
Cobertura bruta de educación (media),15114,Busbanzá,2012,0.000000
Cobertura bruta de educación (media),15131,Caldas,2012,1.166700
Cobertura bruta de educación (media),15135,Campohermoso,2012,0.347300
Cobertura bruta de educación (media),15162,Cerinza,2012,1.488200
Cobertura bruta de educación (media),15172,Chinavita,2012,0.699200
Cobertura bruta de educación (media),15176,Chiquinquirá,2012,1.025900
Cobertura bruta de educación (media),15232,Chíquiza,2012,0.589800
Cobertura bruta de educación (media),15180,Chiscas,2012,0.988400
Cobertura bruta de educación (media),15183,Chita,2012,0.788200
Cobertura bruta de educación (media),15185,Chitaraque,2012,0.669900
Cobertura bruta de educación (media),15187,Chivatá,2012,0.414500
Cobertura bruta de educación (media),15236,Chivor,2012,0.714300
Cobertura bruta de educación (media),15189,Ciénega,2012,1.302200
Cobertura bruta de educación (media),15204,Cómbita,2012,0.871300
Cobertura bruta de educación (media),15212,Coper,2012,0.844600
Cobertura bruta de educación (media),15215,Corrales,2012,1.048800
Cobertura bruta de educación (media),15218,Covarachía,2012,1.324300
Cobertura bruta de educación (media),15223,Cubará,2012,0.533800
Cobertura bruta de educación (media),15224,Cucaita,2012,0.710700
Cobertura bruta de educación (media),15226,Cuítiva,2012,2.461500
Cobertura bruta de educación (media),15238,Duitama,2012,1.070000
Cobertura bruta de educación (media),15244,El Cocuy,2012,1.062200
Cobertura bruta de educación (media),15248,El Espino,2012,0.820800
Cobertura bruta de educación (media),15272,Firavitoba,2012,1.090000
Cobertura bruta de educación (media),15276,Floresta,2012,0.692800
Cobertura bruta de educación (media),15293,Gachantivá,2012,1.051000
Cobertura bruta de educación (media),15296,Gámeza,2012,0.676900
Cobertura bruta de educación (media),15299,Garagoa,2012,0.997000
Cobertura bruta de educación (media),15317,Guacamayas,2012,0.931500
Cobertura bruta de educación (media),15322,Guateque,2012,1.317800
Cobertura bruta de educación (media),15325,Guayatá,2012,0.691200
Cobertura bruta de educación (media),15325,Guicán,2012,0.798500
Cobertura bruta de educación (media),15362,Iza,2012,0.373300
Cobertura bruta de educación (media),15367,Jenesano,2012,0.794900
Cobertura bruta de educación (media),15368,Jericó,2012,0.546000
Cobertura bruta de educación (media),15380,La Capilla,2012,0.943800
Cobertura bruta de educación (media),15403,La Uvita,2012,1.063800
Cobertura bruta de educación (media),15401,La Victoria,2012,0.597000
Cobertura bruta de educación (media),15377,Labranzagrande,2012,0.363200
Cobertura bruta de educación (media),15425,Macanal,2012,0.606600
Cobertura bruta de educación (media),15442,Maripí,2012,0.644300
Cobertura bruta de educación (media),15455,Miraflores,2012,0.763600
Cobertura bruta de educación (media),15464,Mongua,2012,0.795700
Cobertura bruta de educación (media),15466,Monguí,2012,1.373200
Cobertura bruta de educación (media),15469,Moniquirá,2012,1.167700
Cobertura bruta de educación (media),15476,Motavita,2012,0.865000
Cobertura bruta de educación (media),15480,Muzo,2012,0.994900
Cobertura bruta de educación (media),15491,Nobsa,2012,1.075700
Cobertura bruta de educación (media),15494,Nuevo Colón,2012,0.764700
Cobertura bruta de educación (media),15500,Oicatá,2012,0.854800
Cobertura bruta de educación (media),15507,Otanche,2012,0.589900
Cobertura bruta de educación (media),15511,Pachavita,2012,0.443000
Cobertura bruta de educación (media),15514,Páez,2012,0.828100
Cobertura bruta de educación (media),15516,Paipa,2012,1.073100
Cobertura bruta de educación (media),15518,Pajarito,2012,1.000000
Cobertura bruta de educación (media),15522,Panqueba,2012,2.588200
Cobertura bruta de educación (media),15531,Pauna,2012,0.625300
Cobertura bruta de educación (media),15533,Paya,2012,0.752500
Cobertura bruta de educación (media),15537,Paz De Río,2012,0.807300
Cobertura bruta de educación (media),15542,Pesca,2012,0.959500
Cobertura bruta de educación (media),15550,Pisba,2012,0.650000
Cobertura bruta de educación (media),15572,Puerto Boyacá,2012,0.895700
Cobertura bruta de educación (media),15580,Quípama,2012,0.529800
Cobertura bruta de educación (media),15599,Ramiriquí,2012,0.734700
Cobertura bruta de educación (media),15600,Ráquira,2012,0.203500
Cobertura bruta de educación (media),15621,Rondón,2012,0.666700
Cobertura bruta de educación (media),15632,Saboyá,2012,1.175800
Cobertura bruta de educación (media),15638,Sáchica,2012,0.610400
Cobertura bruta de educación (media),15646,Samacá,2012,0.638100
Cobertura bruta de educación (media),15660,San Eduardo,2012,0.851900
Cobertura bruta de educación (media),15664,San José De Pare,2012,0.605300
Cobertura bruta de educación (media),15667,San Luis De Gaceno,2012,0.716300
Cobertura bruta de educación (media),15673,San Mateo,2012,1.317600
Cobertura bruta de educación (media),15676,San Miguel De Sema,2012,0.795300
Cobertura bruta de educación (media),15681,San Pablo De Borbur,2012,0.591100
